Name,Stage,Location,City,Country,Total Funding,Investors
Honeywell,Public,new york,Morris Plains,usa,0,Industry Ventures
Alarm.com,late,tysons,Tysons,usa,136000000,Technology Crossover Ventures
Viva Labs,pre series a,oslo,Oslo,nor,435000,"Founders Fund, Investinor, Startup Labs"
Kuna,pre series a,bay area,Burlingame,usa,0,Indiegogo
Backerjack,no known funding,,,,,
Convergent Home Technologies,no known funding,chelmsford,Chelmsford,gbr,,
D-Link,no known funding,los angeles,Fountain Valley,usa,,
Silvan,Series: a,bangalore,Bangalore,ind,1400000,"Chennai Angels, Infuse Ventures"
SmartHome Ventures,unknown,philadelphia,Newtown Square,usa,0,
"MeShare, Inc.",no known funding,bay area,Fremont,usa,,
SmartThings,exited (acquired),minneapolis,Minneapolis,usa,15500000,"Voyager Capital, Slow Ventures, BoxGroup, SV Angel, Martin Varsavsky, Vivi Nevo, CrunchFund, Matt Mullenweg, David Tisch, Max Levchin, Alexis Ohanian, Emil Michael, Chris Dixon, Kal Vepuri, A-Grade Investments, Start Fund, Jared Hecht, Steve Martocci, Aaron Levie, Loic Le Meur, Kevin Colleran, Ryan Sarver, Zorik Gordon, Nathan Hanks, First Round Capital, Lerer Hippeau Ventures, Greylock Partners, Highland Capital Partners"
MindoLife,pre series a,haifa,Haifa,isr,20000000,SAR Group
ecobee,Series: c,toronto,Toronto,can,42500000,"Relay Ventures, Tech Capital Partners, The Ontario Capital Growth, Amazon, Thomvest Ventures"
Qorvo,no known funding,greensboro,Greensboro,usa,,
Wulian IOT Sensor Technology,no known funding,shanghai,Shanghai,chn,,
People Power,Series: b,palo alto,Palo Alto,usa,9564000,"Indiegogo, Energy Excelerator, New Cycle Capital, Green Capital Partners, Greener Capital, MediaTek, RWE Ventures"