Uma Trevino ,3762649 ,856 ,15403 ,985 ,501 ,2748072 ,299 ,2785245 ,695 ,3236933 ,41779 ,584 ,3783981 ,18072572 ,1404 ,304 ,85 ,47 ,482
Aquila Palmer ,10404519 ,828 ,63717 ,975 ,683 ,16696206 ,613 ,1621259 ,35 ,937923 ,15788 ,270 ,679198 ,143915018 ,10 ,296 ,345 ,49 ,270
Troy Oliver ,5740825 ,910 ,67742 ,4976 ,112 ,12834493 ,713 ,756069 ,167 ,4962641 ,76183 ,678 ,568114 ,115979642 ,2089 ,231 ,271 ,4 ,525
Malik Greer ,3101131 ,860 ,60365 ,778 ,416 ,7208508 ,715 ,1409633 ,21 ,4343482 ,3582 ,608 ,3500511 ,177742516 ,1931 ,367 ,259 ,31 ,490
Ignacia Perry ,10554404 ,274 ,29854 ,1092 ,743 ,10488663 ,632 ,1749363 ,759 ,3665862 ,71121 ,428 ,2427614 ,106642471 ,1162 ,229 ,82 ,15 ,711
Steel Witt ,3610279 ,370 ,32610 ,4043 ,341 ,3561265 ,686 ,3167161 ,163 ,1799690 ,78858 ,488 ,2176664 ,21942130 ,1510 ,78 ,315 ,5 ,517
Kyra Malone ,16304212 ,200 ,55882 ,1002 ,265 ,5618761 ,326 ,3841049 ,770 ,2590916 ,67743 ,606 ,2707553 ,20236753 ,2209 ,230 ,395 ,26 ,302
Tamekah Rivers ,8812911 ,443 ,39593 ,4780 ,433 ,10627362 ,638 ,287668 ,905 ,1722959 ,266 ,665 ,2035585 ,58066421 ,909 ,374 ,316 ,23 ,614
Yen Vincent ,15042757 ,675 ,66537 ,1242 ,722 ,1253436 ,577 ,4915101 ,417 ,2788517 ,79081 ,480 ,3990970 ,171701056 ,2817 ,141 ,267 ,28 ,356
Tiger Burris ,18489221 ,558 ,57890 ,1795 ,654 ,15345249 ,576 ,4104945 ,874 ,3060096 ,19565 ,260 ,2450076 ,87030789 ,2365 ,288 ,364 ,27 ,666
Ezra Hahn ,2425443 ,594 ,8867 ,4607 ,586 ,15469319 ,240 ,3086271 ,536 ,4286026 ,9660 ,291 ,3425872 ,3449060 ,2218 ,385 ,368 ,20 ,296
Ali Head ,8362274 ,772 ,82529 ,2048 ,754 ,13552938 ,310 ,2994372 ,291 ,481661 ,60248 ,651 ,2227303 ,177766884 ,2410 ,20 ,2 ,50 ,277
Chava Haley ,2600837 ,509 ,60284 ,601 ,522 ,533401 ,613 ,1210686 ,296 ,3413400 ,77154 ,517 ,3920695 ,108297447 ,1555 ,297 ,352 ,32 ,508
Ryan Simpson ,5157281 ,349 ,62732 ,2338 ,561 ,16935829 ,445 ,3679369 ,986 ,2129125 ,35688 ,714 ,832831 ,114117627 ,781 ,44 ,12 ,2 ,489
Amelia Holland ,18405006 ,147 ,16304 ,3806 ,283 ,11917533 ,336 ,4136599 ,172 ,3090238 ,88613 ,713 ,31537 ,63699949 ,2771 ,178 ,143 ,41 ,403
Herman Galloway ,9683064 ,360 ,7328 ,4398 ,166 ,18854927 ,462 ,3766267 ,145 ,1636469 ,16580 ,449 ,2103647 ,77892669 ,2152 ,227 ,266 ,23 ,251
Yeo Cotton ,18033445 ,905 ,91659 ,1595 ,43 ,3473494 ,314 ,4138255 ,745 ,1526425 ,3983 ,240 ,3985226 ,57880253 ,1310 ,192 ,301 ,8 ,657
Bevis Warner ,14882229 ,643 ,34834 ,4102 ,434 ,4598125 ,680 ,4016439 ,82 ,868033 ,10350 ,264 ,3186815 ,88511196 ,2458 ,143 ,105 ,37 ,588
Kelsey Fuentes ,12999522 ,846 ,47569 ,1714 ,293 ,9822871 ,333 ,1892955 ,864 ,2873510 ,54498 ,557 ,133280 ,1346064 ,2998 ,319 ,397 ,14 ,255
Cameron Haley ,4917365 ,816 ,21514 ,38 ,417 ,10369452 ,668 ,4225191 ,587 ,2702110 ,23180 ,266 ,2967061 ,146777235 ,1715 ,335 ,110 ,33 ,571
Bradley Newton ,13066927 ,433 ,19216 ,761 ,753 ,15155728 ,261 ,1015086 ,749 ,4763176 ,59806 ,586 ,3980040 ,196311620 ,794 ,110 ,260 ,39 ,543
Jordan Rosales ,16246052 ,726 ,91780 ,4714 ,85 ,18583427 ,388 ,3476539 ,377 ,1416522 ,55029 ,697 ,867583 ,105512231 ,1258 ,285 ,24 ,6 ,416
Mason Jarvis ,14472042 ,670 ,39678 ,2760 ,873 ,18987202 ,323 ,4366866 ,34 ,2327256 ,92630 ,594 ,2491687 ,64893801 ,951 ,188 ,39 ,36 ,390
Quintessa Madden ,9510136 ,245 ,70978 ,4580 ,458 ,16276814 ,242 ,3583093 ,939 ,2514386 ,7787 ,469 ,1269534 ,125863248 ,568 ,129 ,388 ,1 ,535
Joshua England ,12879971 ,679 ,99967 ,4048 ,151 ,3570508 ,672 ,2098257 ,827 ,1580687 ,23047 ,264 ,3333822 ,13288834 ,440 ,383 ,395 ,24 ,609
Xena Nielsen ,9181585 ,126 ,71268 ,664 ,459 ,17040048 ,413 ,1633792 ,595 ,3754973 ,3914 ,279 ,3336117 ,88150970 ,2217 ,193 ,282 ,39 ,714
Sean Burns ,1650841 ,529 ,31130 ,1930 ,280 ,5240794 ,276 ,2591627 ,623 ,2640532 ,36027 ,614 ,1675537 ,64336439 ,2994 ,264 ,106 ,7 ,516
Josiah Greer ,18831966 ,774 ,24659 ,4565 ,104 ,10294322 ,591 ,3555622 ,597 ,919218 ,37432 ,245 ,83245 ,44326571 ,1648 ,103 ,378 ,25 ,532
Gail Richmond ,10590221 ,873 ,49272 ,102 ,808 ,2733920 ,423 ,4332205 ,333 ,1424854 ,71924 ,380 ,1111037 ,2791188 ,1783 ,308 ,364 ,39 ,265
Suki Charles ,6663715 ,780 ,34374 ,4601 ,798 ,19386202 ,649 ,3284056 ,798 ,1682235 ,36031 ,532 ,2249819 ,185197337 ,1170 ,201 ,334 ,11 ,360
Beck Mccarty ,18605353 ,156 ,4491 ,4834 ,58 ,18648472 ,303 ,3231417 ,270 ,645146 ,69537 ,618 ,3186198 ,122578363 ,1784 ,96 ,276 ,31 ,342
Jesse Torres ,2507848 ,160 ,62680 ,3948 ,506 ,5883399 ,321 ,3285915 ,543 ,2627969 ,65090 ,602 ,647633 ,174183504 ,2061 ,357 ,1 ,34 ,371
Mason Lewis ,6012819 ,142 ,74278 ,4473 ,292 ,5430025 ,578 ,953877 ,846 ,900855 ,58377 ,483 ,2421788 ,133614009 ,2502 ,262 ,110 ,5 ,463
Hyatt Farley ,1763775 ,330 ,15105 ,1889 ,475 ,7666914 ,362 ,601455 ,210 ,3997466 ,42024 ,653 ,2445833 ,135135164 ,2101 ,120 ,353 ,15 ,348
Sade Lloyd ,16280239 ,386 ,60803 ,3332 ,94 ,101348 ,528 ,2557423 ,865 ,1383075 ,42652 ,568 ,236612 ,173501328 ,1246 ,338 ,395 ,29 ,249
Colby Shepherd ,6747519 ,852 ,36211 ,1239 ,743 ,22547 ,308 ,3026455 ,771 ,353707 ,55939 ,413 ,3409483 ,39890101 ,1957 ,35 ,398 ,41 ,420
Wyatt Yates ,3958742 ,673 ,28585 ,1772 ,633 ,4939911 ,669 ,2921931 ,538 ,1905088 ,20921 ,583 ,810148 ,189765312 ,2034 ,319 ,312 ,16 ,382
Alexander Whitfield ,9960765 ,507 ,92943 ,250 ,625 ,8653509 ,682 ,2668025 ,42 ,3636141 ,5449 ,681 ,586072 ,170940742 ,2586 ,108 ,7 ,12 ,581
Anika Haney ,10596225 ,259 ,9711 ,3410 ,329 ,10600025 ,548 ,3808336 ,361 ,3469365 ,52624 ,416 ,1692377 ,120698363 ,29 ,369 ,363 ,35 ,405
Ivan Sloan ,13282236 ,482 ,67940 ,3337 ,895 ,12751891 ,617 ,2657831 ,20 ,4387939 ,14187 ,362 ,300347 ,115923390 ,307 ,295 ,197 ,3 ,655
Darryl Crane ,16532564 ,92 ,98753 ,638 ,281 ,15893631 ,398 ,2874165 ,396 ,4459403 ,55948 ,557 ,3522388 ,142336963 ,158 ,227 ,233 ,28 ,528
Teegan Bass ,11451943 ,935 ,85981 ,4555 ,589 ,6294085 ,607 ,3819747 ,223 ,4329486 ,20889 ,276 ,2606824 ,145692518 ,2267 ,197 ,211 ,50 ,574
Ginger Winters ,1447620 ,971 ,46848 ,4290 ,946 ,19603700 ,298 ,2994217 ,733 ,3566114 ,68438 ,429 ,1212927 ,179551820 ,878 ,357 ,207 ,3 ,506
Miriam Hartman ,1317836 ,940 ,96277 ,1257 ,408 ,12298775 ,384 ,571679 ,138 ,1450275 ,64396 ,579 ,174870 ,187232104 ,2355 ,175 ,199 ,20 ,564
Timon Barron ,18933298 ,331 ,41532 ,3956 ,232 ,3039735 ,708 ,3436140 ,988 ,4958322 ,43452 ,646 ,3986984 ,141784043 ,1919 ,217 ,294 ,32 ,245
Cassady William ,16244541 ,924 ,71477 ,2096 ,330 ,14460821 ,309 ,3823816 ,614 ,1327124 ,82142 ,351 ,2045925 ,11841492 ,1405 ,366 ,370 ,4 ,546
Naomi Walters ,7860271 ,301 ,26552 ,2988 ,424 ,19991786 ,247 ,2606265 ,835 ,130846 ,79775 ,616 ,236081 ,126044824 ,2702 ,4 ,1 ,13 ,375
Kessie Russell ,12300840 ,557 ,97609 ,1672 ,82 ,19457603 ,398 ,3348577 ,821 ,1620293 ,41028 ,485 ,3848437 ,102919152 ,893 ,139 ,230 ,22 ,284
Jordan Roth ,8001747 ,832 ,96684 ,915 ,8 ,7683106 ,571 ,3136138 ,231 ,1061447 ,2145 ,577 ,201839 ,95226902 ,1849 ,53 ,391 ,36 ,311
Oleg Boyle ,3280020 ,972 ,88694 ,246 ,400 ,16612572 ,718 ,1593476 ,817 ,3155048 ,8913 ,653 ,3584361 ,49849733 ,2301 ,270 ,372 ,11 ,683
Elaine Rhodes ,15532942 ,381 ,70333 ,3194 ,799 ,8750171 ,468 ,1899814 ,32 ,3587251 ,72196 ,324 ,410209 ,160043542 ,2694 ,343 ,325 ,30 ,270
Adena Salazar ,19121441 ,431 ,8327 ,2333 ,990 ,3058830 ,434 ,2945801 ,391 ,2982999 ,62041 ,310 ,744328 ,186754789 ,1784 ,337 ,319 ,15 ,463
Ariana Osborne ,11145494 ,711 ,38696 ,1184 ,1000 ,6054289 ,497 ,3296578 ,431 ,1097264 ,66816 ,688 ,1236791 ,47272225 ,555 ,130 ,264 ,9 ,469
Anika Watkins ,8644334 ,717 ,29458 ,4055 ,483 ,14805498 ,693 ,939128 ,187 ,1546117 ,13833 ,470 ,3716239 ,4364126 ,54 ,334 ,357 ,25 ,688
Craig Perkins ,8690037 ,274 ,87664 ,2012 ,414 ,18773424 ,280 ,1187451 ,84 ,746807 ,19721 ,491 ,448956 ,133966613 ,2032 ,362 ,83 ,22 ,509
Hadassah Harris ,14365122 ,985 ,89019 ,2611 ,721 ,9056790 ,433 ,2633224 ,270 ,3457794 ,84032 ,263 ,292287 ,69484805 ,1170 ,123 ,195 ,13 ,503
Justin Lawson ,11441326 ,541 ,89793 ,2767 ,393 ,13068268 ,486 ,1485355 ,753 ,1605313 ,63558 ,361 ,1609667 ,39135054 ,2405 ,368 ,380 ,47 ,691
Nomlanga Wood ,16077092 ,152 ,10974 ,2224 ,750 ,5170803 ,486 ,2156720 ,369 ,3805227 ,57703 ,309 ,2674421 ,38697180 ,2632 ,322 ,316 ,43 ,520
Jescie Dennis ,18414986 ,621 ,7498 ,4033 ,46 ,11792287 ,247 ,4073395 ,455 ,4203850 ,76711 ,569 ,3824593 ,195101036 ,1292 ,215 ,87 ,43 ,656
Honorato Estes ,11680200 ,234 ,18475 ,1567 ,903 ,17973497 ,305 ,3241233 ,283 ,4870855 ,14567 ,440 ,782691 ,170183239 ,1954 ,96 ,52 ,5 ,570
Taylor Glass ,5884195 ,554 ,80490 ,4197 ,452 ,8035826 ,522 ,3897642 ,289 ,845321 ,97936 ,260 ,3998755 ,75445118 ,1826 ,39 ,58 ,39 ,342
Jana Barry ,13244000 ,449 ,79349 ,665 ,477 ,12260910 ,502 ,2290371 ,512 ,4139109 ,78956 ,595 ,63234 ,77186177 ,440 ,203 ,337 ,15 ,608
Raymond Townsend ,12309012 ,319 ,44595 ,3226 ,578 ,5539847 ,389 ,4560092 ,407 ,3051873 ,6750 ,585 ,182197 ,50955686 ,2990 ,370 ,390 ,13 ,333
Jael Perkins ,4141417 ,42 ,68933 ,3374 ,84 ,17866335 ,299 ,4146265 ,212 ,4366183 ,38023 ,526 ,598730 ,178715082 ,265 ,314 ,105 ,12 ,675
Maisie Jennings ,17823790 ,252 ,7145 ,3011 ,734 ,9333884 ,677 ,3854504 ,279 ,2730003 ,91157 ,619 ,2688253 ,142973700 ,1194 ,101 ,152 ,6 ,459
Zeus Mayo ,11885025 ,433 ,76667 ,1379 ,221 ,1833282 ,652 ,1611218 ,36 ,1331617 ,53324 ,602 ,278659 ,50744376 ,1673 ,270 ,79 ,13 ,486
Tamara Mccarty ,5662058 ,641 ,90433 ,4270 ,871 ,14348152 ,430 ,2276767 ,166 ,3681763 ,26771 ,604 ,2110739 ,198487133 ,618 ,140 ,280 ,26 ,467
Joshua Washington ,1245011 ,598 ,38884 ,2768 ,568 ,7355408 ,462 ,4257776 ,287 ,2181109 ,238 ,357 ,3984021 ,102270152 ,838 ,194 ,199 ,15 ,537
Emma Price ,14001864 ,82 ,81565 ,1386 ,914 ,18257221 ,672 ,1660029 ,331 ,1537542 ,58712 ,307 ,2383553 ,101279094 ,1864 ,319 ,148 ,20 ,651
Leilani Frazier ,6906782 ,37 ,23330 ,1503 ,28 ,6285646 ,661 ,3560266 ,34 ,1843432 ,49362 ,520 ,2405582 ,97573118 ,1845 ,347 ,183 ,11 ,296
Jennifer Johnston ,18243759 ,887 ,53909 ,2159 ,124 ,2289702 ,558 ,1499060 ,674 ,2134449 ,95483 ,540 ,3432463 ,48908657 ,522 ,388 ,355 ,19 ,594
Amity Mcdowell ,13942300 ,852 ,61842 ,2650 ,669 ,7324366 ,591 ,1061762 ,447 ,4843030 ,92831 ,627 ,3970890 ,87741647 ,2470 ,244 ,366 ,27 ,690
Ivor Frazier ,9609257 ,513 ,31732 ,4958 ,174 ,441962 ,520 ,1275450 ,755 ,862335 ,41368 ,376 ,1040244 ,49800954 ,2651 ,137 ,390 ,28 ,443
Imogene Wynn ,3503212 ,659 ,78502 ,1690 ,800 ,14750500 ,708 ,4460692 ,384 ,996300 ,48444 ,569 ,2144310 ,106784281 ,76 ,316 ,299 ,12 ,690
Yen Garrett ,5027660 ,235 ,75276 ,1171 ,959 ,17698295 ,566 ,2962023 ,544 ,4321871 ,66339 ,563 ,3412204 ,19699111 ,2230 ,205 ,325 ,22 ,252
Dalton Petty ,18801929 ,419 ,63726 ,3856 ,501 ,12117687 ,426 ,2271279 ,426 ,2386723 ,19256 ,604 ,3141933 ,64445066 ,1281 ,122 ,318 ,29 ,294
Kermit Stevenson ,17723949 ,579 ,15129 ,2134 ,294 ,16985728 ,326 ,2400409 ,330 ,4156425 ,41852 ,329 ,723514 ,6395083 ,1263 ,249 ,187 ,41 ,627
Garth Fitzpatrick ,12416587 ,725 ,16089 ,1566 ,227 ,9271753 ,509 ,255150 ,604 ,182934 ,91554 ,479 ,3996945 ,191169146 ,2287 ,227 ,73 ,10 ,614
Michael Benjamin ,7000617 ,118 ,17299 ,2622 ,181 ,8109582 ,448 ,154839 ,280 ,3449575 ,48447 ,260 ,321884 ,194054728 ,2441 ,390 ,28 ,48 ,373
Caryn Simpson ,10032828 ,376 ,61197 ,3125 ,923 ,10800163 ,656 ,448218 ,731 ,3354867 ,20291 ,285 ,2271069 ,175430071 ,2807 ,225 ,239 ,6 ,438
Demetrius Orr ,3118777 ,858 ,61211 ,1621 ,224 ,11009242 ,663 ,1233990 ,370 ,3041370 ,49775 ,477 ,937499 ,164388571 ,822 ,330 ,359 ,44 ,518
Miranda Nicholson ,13449349 ,730 ,16069 ,3857 ,797 ,15369870 ,494 ,2700839 ,599 ,1917346 ,10556 ,290 ,3982750 ,44091493 ,992 ,373 ,242 ,35 ,601
Hasad Alvarado ,3520564 ,355 ,58296 ,2155 ,281 ,13274000 ,391 ,4464783 ,102 ,319495 ,65451 ,486 ,2459018 ,191142040 ,407 ,381 ,381 ,10 ,702
Quyn Santiago ,6158546 ,940 ,54676 ,3806 ,62 ,15202928 ,265 ,4617503 ,593 ,2374506 ,22515 ,645 ,1047831 ,18541606 ,2967 ,219 ,338 ,32 ,269
Grant Dejesus ,1637183 ,828 ,89290 ,1663 ,25 ,1698845 ,430 ,2831475 ,192 ,3639943 ,21089 ,288 ,1361110 ,44753938 ,2286 ,316 ,197 ,40 ,672
Merrill Valenzuela ,355758 ,641 ,26665 ,4486 ,41 ,422290 ,643 ,2258614 ,593 ,60400 ,38359 ,394 ,846147 ,116376845 ,103 ,307 ,86 ,42 ,326
Jayme Butler ,10810398 ,742 ,73069 ,829 ,386 ,16407899 ,575 ,1894826 ,868 ,4248331 ,61906 ,359 ,3621084 ,45986959 ,2397 ,260 ,251 ,40 ,395
Thor Case ,4709810 ,380 ,93458 ,723 ,155 ,4980898 ,277 ,588186 ,358 ,1706748 ,72174 ,397 ,517593 ,121551940 ,1106 ,216 ,140 ,35 ,667
Jordan Franco ,11599422 ,830 ,30819 ,4031 ,776 ,8454216 ,652 ,3179609 ,902 ,4438964 ,14942 ,470 ,1619693 ,85805934 ,934 ,257 ,161 ,30 ,287
Brandon Clayton ,11960786 ,714 ,57337 ,2591 ,29 ,12528978 ,484 ,4897142 ,433 ,438925 ,64959 ,543 ,2743990 ,21450738 ,258 ,382 ,109 ,10 ,257
Caryn Morin ,12624442 ,850 ,1856 ,4826 ,659 ,19732475 ,422 ,2848176 ,61 ,1326860 ,53019 ,686 ,867396 ,76585906 ,1842 ,180 ,343 ,33 ,526
Brock Olson ,1111731 ,52 ,42936 ,4681 ,420 ,3920618 ,378 ,1306171 ,376 ,3361891 ,99499 ,490 ,3750279 ,147918586 ,2859 ,314 ,116 ,34 ,418
Jordan Lott ,1257477 ,554 ,40244 ,2370 ,371 ,12578056 ,560 ,3875729 ,945 ,1891251 ,78895 ,473 ,220304 ,24398846 ,1662 ,267 ,297 ,17 ,491
Erin Acevedo ,1715715 ,578 ,92947 ,4408 ,728 ,18803839 ,460 ,2471367 ,711 ,3450892 ,9488 ,609 ,1737018 ,25926933 ,589 ,197 ,364 ,2 ,361
Audra Rios ,13001609 ,898 ,20898 ,1928 ,71 ,3006153 ,480 ,875392 ,473 ,1618134 ,28916 ,632 ,1262287 ,199506179 ,2133 ,264 ,221 ,21 ,430
Dawn Barber ,3076136 ,44 ,92157 ,4030 ,859 ,1026319 ,494 ,2874744 ,519 ,3414588 ,91424 ,428 ,1206717 ,194406899 ,36 ,310 ,30 ,17 ,319
Ray Thomas ,11705470 ,889 ,70052 ,2298 ,518 ,13370016 ,696 ,2204152 ,135 ,528090 ,46029 ,587 ,2180236 ,148433554 ,602 ,112 ,48 ,40 ,354
Kirby Barlow ,14709668 ,535 ,82262 ,2656 ,151 ,14598739 ,601 ,3241114 ,54 ,2832125 ,98398 ,550 ,1584285 ,93265319 ,2486 ,218 ,258 ,23 ,466
Ferdinand Acevedo ,6333728 ,307 ,76708 ,3406 ,68 ,3619064 ,626 ,2374195 ,152 ,4501827 ,13654 ,332 ,3392538 ,122469102 ,2978 ,313 ,140 ,23 ,542
Kamal Roberson ,6156983 ,955 ,31042 ,4626 ,464 ,18688406 ,348 ,442660 ,980 ,3830966 ,19857 ,282 ,2760830 ,59770981 ,808 ,194 ,253 ,26 ,464
